time[s],wz1[dps],wz2[dps],wz3[dps],fz1[mps2],fz2[mps2],fz3[mps2]
2.4000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.4900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.5900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.6900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.7900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.8900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.9900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
